code,description,fee
0001U,Rbc dna hea 35 ag 11 bld grp,720.0
0002M,Liver dis 10 assays w/ash,503.4
0002U,Onc clrct 3 ur metab alg plp,25.0
0003M,Liver dis 10 assays w/nash,503.4
0003U,Onc ovar 5 prtn ser alg scor,950.0
0004M,Scoliosis dna alys,79.0
0005U,Onco prst8 3 gene ur alg,760.0
0006M,Onc hep gene risk classifier,150.0
0007M,Onc gastro 51 gene nomogram,375.0
0007U,Rx test prsmv ur w/def conf,114.43
0008U,Hpylori detcj abx rstnc dna,597.91
0009U,Onc brst ca erbb2 amp/nonamp,107.0
00100,Anes px salivary gland w/bx,102.49
00102,Anes px plstc rpr cleft lip,122.99
00103,Anes rcnstv px eyelid,102.49
00104,Anes electroconvulsive ther,81.99
0010U,Nfct ds strn typ whl gen seq,427.26
0011M,Onc prst8 ca mrna 12 gen alg,760.0
0011U,Rx mntr lc-ms/ms oral fluid,114.43
00120,Anes px ear w/bx nos,102.49
00124,Anes px ear otoscopy,81.99
00126,Anes px ear tympanotomy,81.99
0012M,Onc mrna 5 gen rsk urthl ca,760.0
0013M,Onc mrna 5 gen recr urthl ca,760.0
00140,Anes procedures on eye nos,102.49
00142,Anes px on eye lens surgery,81.99
00144,Anes px eye corneal trnspl,122.99
00145,Anes px eye vitreortnl surg,122.99
00147,Anes px on eye iridectomy,81.99
00148,Anes px eye ophthalmoscopy,81.99
0015M,Adrnl cortcl tum bchm asy 25,1305.37
00160,Anes px nose&sinus nos,102.49
00162,Anes px nose&sinus rad surg,143.48
00164,Anes px nose&sins bx sft tis,81.99
0016M,Onc bladder mrna 219 gen alg,3489.63
0016U,Onc hmtlmf neo rna bcr/abl1,163.96
00170,Anes intraoral px nos,102.49
00172,Anes ntroral px rpr clft pal,122.99
00174,Anes ntrorl exc rtrphrng tum,122.99
00176,Anes intraoral px rad surg,143.48
0017M,Onc dlbcl mrna 20 genes alg,2510.21
0017U,Onc hmtlmf neo jak2 mut dna,91.66
0018M,Trnsplj rnl meas cd154+cll,640.73
0018U,Onc thyr 10 microrna seq alg,3002.09
00190,Anes px facial b1/skull nos,102.49
00192,Anes px fcl b1/skl rad surg,143.48
0019M,Cv ds plasma alys prtn bmrk,712.4
0019U,Onc rna tiss predict alg,3675.0
0020M,Onc cns alys 30000 dna loci,2500.0
00210,Anes intracranial px nos,225.47
00211,Anes icr px crnec/crnot hmtm,204.98
00212,Anes icr px subdural taps,102.49
00214,Anes icr px burr holes,184.48
00215,Anes icr px crnop/elvtn fx,184.48
00216,Anes icr px vascular px,307.46
00218,Anes icr px in sitting pos,266.47
0021U,Onc prst8 detcj 8 autoantb,760.0
00220,Anes icr px csf shunting px,204.98
00222,Anes icr px ecoag icr nrv,122.99
0022U,Tgsap nsm lung neo dna&rna23,1950.0
0023U,Onc aml dna detcj/nondetcj,248.51
0024U,Glyca nuc mr spectrsc quan,34.19
0025U,Tenofovir liq chrom ur quan,114.43
0026U,Onc thyr dna&mrna 112 genes,3600.0
0027U,Jak2 gene trgt seq alys,121.91
0029U,Rx metab advrs trgt seq alys,742.27
00300,Anes all px integ h/n/ptrunk,102.49
0030U,Rx metab warf trgt seq alys,134.13
0031U,Cyp1a2 gene,174.81
00320,Anes all px neck nos 1yr/>,122.99
00322,Anes all px nck ndl bx thyr,122.99
00326,Anes all px larynx&trach<1yr,143.48
0032U,Comt gene,174.81
0034U,Tpmt nudt15 genes,466.17
00350,Anes px major vsl neck nos,102.49
00352,Anes px maj vsl nck smpl lig,102.49
0035U,Neuro csf prion prtn qual,540.99
0036U,Xome tum & nml spec seq alys,4780.0
0037U,Trgt gen seq dna 324 genes,3500.0
0038U,Vitamin d srm microsamp quan,29.6
0039U,Dna antb 2strand hi avidity,13.74
00400,Anes integumentary sys nos,61.49
00402,Anes integ sys rcnstv breast,61.49
00404,Anes integ sys rad/modf brst,122.99
00406,Anes integ sys rad brst dsj,122.99
0040U,Bcr/abl1 gene major bp quan,409.9
00410,Anes integ sys conv arrhyt,61.49
0041U,B brgdrferi antb 5 prtn igm,17.21
0042U,B brgdrferi antb 12 prtn igg,17.21
0043U,Tbrf b grp antb 4 prtn igm,14.86
0044U,Tbrf b grp antb 4 prtn igg,14.86
00450,Anes px clav&scapula nos,102.49
00454,Anes px clav&scapula bx clav,81.99
0045U,Onc brst dux carc is 12 gene,3873.0
0046U,Flt3 gene itd variants quan,407.43
00470,Anes partial rib rescj nos,102.49
00472,Anes prtl rib rescj thoracop,102.49
00474,Anes prtl rib rescj rad px,122.99
0047U,Onc prst8 mrna 17 gene alg,3873.0
0048U,Onc sld org neo dna 468 gene,2919.6
0049U,Npm1 gene analysis quan,407.43
00500,Anes all px on esophagus,102.49
0050U,Trgt gen seq dna 194 genes,2916.6
